country_name,iso3,fsi_2011_value,fsi_2013_value,fsi_2015_value,fsi_2018_value,fsi_2020_value,fsi_2022_value,fsi_2025_share,fsi_2025_value,fsi_2011_rank,fsi_2013_rank,fsi_2015_rank,fsi_2018_rank,fsi_2020_rank,fsi_2022_rank,fsi_2025_rank,fsi_2011_score,fsi_2013_score,fsi_2015_score,fsi_2018_score,fsi_2020_score,fsi_2022_score,fsi_2025_score
Tunisia,TUN,,,,,147.4830832,100.933588655745,0.00217460723750577660,77.5058743529353400,,,,,78,102,110.0000000000000000,,,,,66.475,59.575,52.3380000000000000
Turkey,TUR,,,320.9027,353.8883,225.7219655,199.631227605723,0.00634251628016055200,226.0556579658053200,,,19,30,55,59,57.0000000000000000,,,64.07,67.975,59.5,61.125,61.9013620689655100
Taiwan,TWN,,,,743.3792,507.5742216,481.920335551224,0.01794164723129990000,639.4640061939583000,,,,8,13,17,11.0000000000000000,,,,75.75,65.5,60.125,68.6858448275862100
Tanzania,TZA,,,,128.9168,100.6186769,113.187010051459,0.00354809001327800220,126.4586146956107600,,,,75,98,93,85.0000000000000000,,,,73.4,70.775,68.85,67.5380000000000000
Ukraine,UKR,,,,246.2471,160.4497581,125.426280402455,0.00424681530640925600,151.3621070792578000,,,,43,70,85,75.0000000000000000,,,,69.15,64.9,58.875,58.7147758620689600
Uruguay,URY,331.0032555,277.4804,255.5827,148.2012,115.470052,162.736378887982,0.00550948024092550400,196.3651531818364600,26,30,28,67,90,71,61.0000000000000000,78.13,72.23,70.86,60.825,57,57.975,63.3646551724137900
United States,USA,1160.059104,1212.971,1254.755,1298.47,1486.957077,1950.78060750601,0.05662174431428257400,2018.0737582297130000,5,6,3,2,2,1,1.00000000000000000000,58.07,58.4,60,59.825,62.888,67.425,68.5660000000000000
St. Vincent & Grenadines,VCT,100.9028576,85.14934,79.65414,21.37537,57.72270926,52.6631585467788,0.00133811562061703450,47.6922082169647300,53,62,64,111,114,122,124.0000000000000000,78.13,78.07,77.98,69.95,65.65,66.5,64.9486034482758600
Venezuela,VEN,,,,105.0341,196.9988394,168.099676122028,0.00426946943917219000,152.1695302944553000,,,,85,61,69,73.0000000000000000,,,,68.525,69.025,71.925,70.7895000000000000
British Virgin Islands,VGB,617.8850568,385.4457,307.6909,502.7578,619.1401487,620.8089964276,0.01579189352817633000,562.8439446350901000,11,20,21,16,9,9,16.0000000000000000,81.4,66,60.2,68.65,71.3,70.65,71.5234655172413800
US Virgin Islands,VIR,104.24046,102.8635,118.2316,101.8939,117.0346512,119.568374548601,0.00221019639692800930,78.7743190039657200,52,59,50,86,89,87,109.0000000000000000,68.07,69.4,69.33,73.075,73.888,71.925,70.1910000000000000
Vietnam,VNM,,,,,299.2994469,375.209214085042,0.00808004806943406400,287.9835860169074500,,,,,37,24,40.0000000000000000,,,,,74.325,80.875,75.4275000000000000
Vanuatu,VUT,14.32583422,164.9674,142.8499,149.2654,88.59109729,80.6022425894997,0.00143330071829884000,51.0847308270060800,70,45,47,66,106,112,122.0000000000000000,88,86.67,86.64,88.575,76.3,76,76.5296551724137800
Samoa,WSM,27.50107447,31.03195,117.5075,115.901,120.859974,93.3386454306419,0.00261341748734703840,93.1456512755883200,69,76,51,81,86,104,97.0000000000000000,84.67,87.6,85.89,77.6,74.625,73.025,74.3642758620689600
,XKX,,,,,,40.8634452712237,,,,,,,,129,,,,,,,68.9,
Kosovo,XXK,,,,,,,0.00199341413322437100,71.0479127809134800,,,,,,,114.0000000000000000,,,,,,,64.3915000000000000
South Africa,ZAF,,209.7911,90.88525,216.4384,218.5853163,261.086804265287,0.00757430539408700700,269.9582490391249500,,36,61,50,58,46,48.0000000000000000,,53.43,41.57,56.1,56.2375,60.05,61.5415000000000000
Namibia,NAM,,,,,,113.074508145991,0.00235059823016081000,83.7784257951969400,,,,,,94,101.0000000000000000,,,,,,71.3,61.7960000000000100
